koi_target,kepoi_name,kepid,period_days,disposition,seedable,included_in_alderaan_system,inside_population_period_cut
K00004,K00004.01,3861595,3.849371737,CONFIRMED,True,True,True
K00012,K00012.01,5812701,17.855221681,CONFIRMED,True,True,True
K00089,K00089.01,8056665,84.6877524,CONFIRMED,True,True,True
K00089,K00089.02,8056665,207.5829306,CONFIRMED,True,True,False
K00094,K00094.04,6462863,3.743166733,CONFIRMED,True,True,True
K00094,K00094.02,6462863,10.423677439,CONFIRMED,True,True,True
K00094,K00094.01,6462863,22.342964828,CONFIRMED,True,True,True
K00094,K00094.03,6462863,54.31996151,CONFIRMED,True,True,True
K00097,K00097.01,5780885,4.885488596,CONFIRMED,True,True,True
K00107,K00107.01,11250587,7.256962446,CONFIRMED,True,True,True
K00131,K00131.01,7778437,5.014234733,CONFIRMED,True,True,True
K00134,K00134.01,9032900,67.5923754,CONFIRMED,True,True,True
K00152,K00152.03,8394721,13.48457668,CONFIRMED,True,True,True
K00152,K00152.02,8394721,27.40229859,CONFIRMED,True,True,True
K00152,K00152.01,8394721,52.09081627,CONFIRMED,True,True,True
K00152,K00152.04,8394721,81.0637895,CONFIRMED,True,True,True
K00155,K00155.01,8030148,5.660669429,CONFIRMED,True,True,True
K00176,K00176.01,6442377,30.22910274,CONFIRMED,True,True,True
K00238,K00238.01,7219825,17.23232894,CONFIRMED,True,True,True
K00238,K00238.02,7219825,26.6951944,CONFIRMED,True,True,True
K00238,K00238.03,7219825,362.97828,CANDIDATE,True,True,False
K00281,K00281.01,4143755,19.55662003,CONFIRMED,True,True,True
K00285,K00285.01,6196457,13.74883059,CONFIRMED,True,True,True
K00285,K00285.02,6196457,26.723169,CONFIRMED,True,True,True
K00285,K00285.03,6196457,49.3567907,CONFIRMED,True,True,True
K00317,K00317.02,8121310,11.505879,CANDIDATE,True,True,True
K00317,K00317.01,8121310,22.20809549,CONFIRMED,True,True,True
K00366,K00366.01,3545478,75.1122132,CANDIDATE,True,True,True
K00393,K00393.01,3964109,21.41624083,CONFIRMED,True,True,True
K00501,K00501.01,4951877,24.7962801,CANDIDATE,True,True,True
K00611,K00611.01,6309763,3.251659087,CANDIDATE,True,True,True
K00629,K00629.01,4656049,40.6992062,CONFIRMED,True,True,True
K00649,K00649.02,5613330,10.2090268,CANDIDATE,True,True,True
K00649,K00649.01,5613330,23.44970494,CONFIRMED,True,True,True
K00673,K00673.01,7124613,4.41746257,CONFIRMED,True,True,True
K00674,K00674.01,7277317,16.33888067,CONFIRMED,True,True,True
K00685,K00685.01,7764367,3.173914037,CONFIRMED,True,True,True
K00840,K00840.01,5651104,3.04033046,CONFIRMED,True,True,True
K00972,K00972.02,11013201,7.82187328,CANDIDATE,True,True,True
K00972,K00972.01,11013201,13.118962443,CANDIDATE,True,True,True
K01117,K01117.01,3114811,11.08956602,CONFIRMED,True,True,True
K01154,K01154.01,10295951,6.810823723,CANDIDATE,True,True,True
K01221,K01221.01,3640905,30.1599411,CONFIRMED,True,True,True
K01221,K01221.02,3640905,51.0771048,CONFIRMED,True,True,True
K01309,K01309.01,10854768,10.1171684,CONFIRMED,True,True,True
K01525,K01525.01,7869917,7.71467686,CONFIRMED,True,True,True
K01525,K01525.02,7869917,11.8061737,CONFIRMED,True,True,True
K01597,K01597.01,5039228,7.79668781,CANDIDATE,True,True,True
K01602,K01602.02,4860678,3.03359398,CANDIDATE,True,True,True
K01602,K01602.01,4860678,9.97716876,CONFIRMED,True,True,True
K01622,K01622.01,7287683,69.8347983,CANDIDATE,True,True,True
K01788,K01788.01,2975770,71.52543938,CONFIRMED,True,True,True
K01788,K01788.02,2975770,369.069345,CANDIDATE,True,True,False
K01814,K01814.01,5621125,14.80075082,CONFIRMED,True,True,True
K01852,K01852.01,9763348,15.77382794,CONFIRMED,True,True,True
K01886,K01886.01,9549648,5.99185827,CONFIRMED,True,True,True
K01921,K01921.01,7755636,16.00496657,CONFIRMED,True,True,True
